split,k,N,p_bias,repetitions,mc_mean,mc_sd,mc_se,ci_low,ci_high,seed
development,11,15,1.8,7000,234.31814285714285,77.20992337047655,0.9228350933690977,232.50941931046975,236.12686640381594,10073242
development,11,30,0.4,7000,274.79285714285714,61.72481047252626,0.7377525938250658,273.346888629459,276.2388256562553,10072097
development,11,30,0.6,7000,412.4962857142857,116.91671725891234,1.397422053773123,409.75738881768837,415.23518261088304,10072297
development,11,30,0.8,7000,785.686,292.71911849082755,3.4986626491938138,778.8287472135247,792.5432527864754,10072497
development,11,30,0.925,7000,1298.951,559.2793255044435,6.684666504521536,1285.8492944024765,1312.0527055975235,10072622
development,11,30,1.075,7000,1357.941,594.8965903639084,7.110374243984267,1344.0049225651896,1371.8770774348104,10072772
development,11,30,1.2,7000,1157.0194285714285,439.9179649456729,5.258025374632331,1146.7138882073514,1167.3249689355057,10072897
development,11,30,1.4,7000,947.9564285714285,308.37798297615655,3.685821877419369,940.7323504382567,955.1805067046004,10073097
development,11,30,1.6,7000,804.843,232.12587129681089,2.774434823406217,799.4052076686701,810.2807923313298,10073297
development,11,30,1.8,7000,705.2847142857142,189.06325263479016,2.2597380852291735,700.8557090241716,709.7137195472569,10073497
development,11,60,0.4,7000,550.057,87.96840236033928,1.0514235121851672,547.9962477836185,552.1177522163815,10072607
development,11,60,0.6,7000,824.2451428571428,164.14587902422903,1.9619185071410088,820.3998532425438,828.0904324717418,10072807
development,11,60,0.8,7000,1649.462857142857,478.15303925951963,5.715021921631694,1638.261620005602,1660.664094280112,10073007
development,11,60,0.925,7000,3869.7318571428573,1538.825251976881,18.39247965928975,3833.6832594242637,3905.780454861451,10073132
development,11,60,1.075,7000,4942.194571428571,1973.8517197747935,23.592040460587278,4895.9550218040085,4988.434121053134,10073282
development,11,60,1.2,7000,3777.0174285714284,1241.7513265102987,14.841767111240427,3747.9280995664662,3806.1067575763905,10073407
development,11,60,1.4,7000,2795.087285714286,745.7953938521821,8.913959914419399,2777.61624532239,2812.5583261061815,10073607
development,11,60,1.6,7000,2281.923142857143,518.3665107803766,6.1956648380555155,2269.779862914273,2294.066422800013,10073807
development,11,60,1.8,7000,1922.4765714285713,394.80910222263697,4.718871342021228,1913.2277535505316,1931.725389306611,10074007
development,14,15,0.4,7000,172.838,53.99504707061851,0.6453642502116048,171.57310931267554,174.10289068732445,10074869
development,14,15,0.6,7000,246.27357142857142,89.6142956011965,1.0710956990789935,244.17426243438084,248.372880422762,10075069
development,14,15,0.8,7000,355.63971428571426,144.18936652533787,1.7233925603288676,352.2619269362454,359.0175016351831,10075269
development,14,15,0.925,7000,408.94314285714285,175.97360600826667,2.1032868838881904,404.8207763155665,413.0655093987192,10075394
development,14,15,1.075,7000,408.684,175.15590059695552,2.0935134348721243,404.5807890664999,412.78721093350015,10075544
development,14,15,1.2,7000,389.1341428571429,157.40848972951875,1.8813913027683986,385.44668366288994,392.8216020513958,10075669
development,14,15,1.4,7000,352.3121428571429,133.19454823438667,1.5919793465710879,349.19192067373194,355.4323650405538,10075869
development,14,15,1.6,7000,322.559,114.29920255983903,1.3661367692362656,319.88142113434105,325.236578865659,10076069
development,14,15,1.8,7000,300.5657142857143,99.45011247303808,1.1886561962929834,298.23599095097967,302.89543762044894,10076269
development,14,30,0.4,7000,351.0735714285714,80.30225006817349,0.9597954667540571,349.1924068812087,352.95473597593417,10075124
development,14,30,0.6,7000,523.2164285714285,148.63502350240617,1.7765283243916583,519.7344970381056,526.6983601047515,10075324
development,14,30,0.8,7000,977.7595714285715,349.96782501850134,4.182915568086457,969.5612075647501,985.9579352923928,10075524
development,14,30,0.925,7000,1531.2737142857143,629.1916673362593,7.520278815551056,1516.5342386535347,1546.013189917894,10075649
development,14,30,1.075,7000,1578.9978571428571,655.0887266194886,7.829807877080501,1563.6517156979114,1594.3439985878028,10075799
development,14,30,1.2,7000,1417.4875714285715,530.5280435463336,6.341022957007809,1405.0593948076946,1429.9157480494484,10075924
development,14,30,1.4,7000,1201.6881428571428,400.0762465221721,4.781825757584198,1192.3159365919319,1211.0603491223537,10076124
development,14,30,1.6,7000,1050.2467142857142,312.12361426547716,3.7305907341895095,1042.934890805644,1057.5585377657844,10076324
development,14,30,1.8,7000,937.6247142857143,260.9121193753246,3.118496295994585,931.5125738596433,943.7368547117852,10076524
development,14,60,0.4,7000,702.3894285714285,112.97291287027087,1.3502845754238948,699.7429194347177,705.0359377081394,10075634
development,14,60,0.6,7000,1050.6761428571428,210.92656773417386,2.521054682245934,1045.7349664768847,1055.617319237401,10075834
